Test case (d)	Observed-1(i_t)	Observed-2(i_t)	Hidden state(q_t)	Coding	Regulatory	Hetero	Other
1	4	4	Other	0.00326741	0.268245	0.0960253	0.632462
1	1	1	Hetero	0.00730101	0.268577	0.447092	0.27703
1	3	4	Regulatory	0.007475	0.824324	0.0529207	0.11528
2	3	3	Regulatory	0.0022728	0.8068	0.00776314	0.183164
2	4	4	Regulatory	0.0588296	0.813077	0.00390917	0.124185
2	1	2	Regulatory	0.0241994	0.811818	0.0254538	0.138529
3	4	1	Coding	0.114653	0.00634017	0.0442282	0.834778
3	4	1	Coding	0.236699	0.00623588	0.0356778	0.721387
3	3	3	Coding	0.216844	0.193889	0.0242252	0.565042
4	2	1	Hetero	1.8209e-05	5.55846e-07	0.363625	0.636356
4	1	1	Hetero	1.85034e-05	3.21536e-06	0.820623	0.179355
4	1	1	Hetero	1.64384e-05	0.000266612	0.856702	0.143015
4	1	2	Hetero	0.000100867	0.0357321	0.58227	0.381897
5	1	1	Other	7.45395e-06	6.4532e-05	0.652616	0.347312
5	1	2	Other	0.000115359	0.00307721	0.3512	0.645608
5	3	1	Other	0.00381666	0.00362194	0.190863	0.801699
5	2	2	Other	0.00337004	0.0261927	0.0323698	0.938067
6	4	3	Regulatory	0.00789038	0.795084	0.00506408	0.191961
6	1	4	Regulatory	0.00861718	0.964554	0.00671026	0.0201187
6	4	4	Coding	0.417837	0.574941	0.00021361	0.00700875
6	4	2	Coding	0.742301	0.241048	0.00011206	0.0165393
7	2	2	Other	2.91067e-05	2.00404e-05	0.0600903	0.939861
7	1	1	Hetero	6.06379e-05	1.67682e-06	0.666745	0.333193
7	1	1	Hetero	4.42555e-05	1.66914e-05	0.665336	0.334603
7	2	2	Other	0.000201428	0.00134082	0.0500251	0.948433
7	2	1	Hetero	0.00242176	0.00145865	0.114684	0.881436
8	1	4	Regulatory	5.71736e-06	0.937237	0.0399655	0.0227922
8	3	4	Regulatory	0.000475949	0.997459	0.000453197	0.00161163
8	2	3	Regulatory	0.00295912	0.995932	3.62102e-05	0.00107268
8	3	4	Regulatory	0.000648091	0.999234	1.27566e-05	0.000105044
8	1	4	Regulatory	0.00148765	0.998292	7.75798e-05	0.000142617
9	2	2	Other	0.000137032	0.00314741	0.0301888	0.966527
9	3	1	Other	0.0070743	0.00197841	0.280776	0.710171
9	1	1	Hetero	0.0104123	0.0120782	0.628557	0.348953
9	4	4	Regulatory	0.0820186	0.85403	0.00597525	0.057976
9	4	4	Regulatory	0.194783	0.774308	0.00146202	0.0294473
10	1	3	Hetero	3.97619e-05	0.744464	0.0947736	0.160723
10	3	4	Regulatory	0.000347185	0.99201	0.00123867	0.00640367
10	2	4	Regulatory	0.000563909	0.996665	0.000175203	0.00259628
10	1	2	Regulatory	0.000806382	0.996801	0.000431432	0.00196097
10	1	4	Regulatory	0.000882868	0.997883	0.000393795	0.000840663
10	3	2	Regulatory	0.05582	0.942977	8.83297e-05	0.00111515
11	1	1	Hetero	1.14319e-06	8.68068e-08	0.901502	0.0984972
11	1	1	Hetero	1.82018e-06	3.67651e-08	0.958601	0.0413971
11	1	1	Hetero	9.29341e-07	1.46596e-07	0.965724	0.0342747
11	1	1	Hetero	1.65877e-06	1.02728e-05	0.949476	0.0505116
