Best Kaggle 73.3%, validation with 3 trees 16.2% test error same...
Id,Category
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,1
10,0
11,0
12,0
13,0
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,1
25,0
26,1
27,1
28,1
29,0
30,0
31,0
32,0
33,1
34,0
35,1
36,1
37,0
38,0
39,0
40,0
41,0
42,1
43,1
44,0
45,1
46,0
47,0
48,1
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,1
59,1
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,1
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,1
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,0
94,1
95,0
96,0
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,1
108,1
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,1
128,1
129,0
130,0
131,0
132,0
133,0
134,1
135,0
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,1
149,0
150,0
151,0
152,1
153,0
154,1
155,0
156,1
157,0
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,1
167,0
168,1
169,1
170,0
171,1
172,1
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,1
197,0
198,0
199,0
200,1
201,0
202,1
203,0
204,0
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,0
213,0
214,1
215,1
216,1
217,0
218,0
219,0
220,0
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,0
237,0
238,1
239,1
240,0
241,1
242,0
243,0
244,0
245,0
246,1
247,0
248,1
249,0
250,1
251,0
252,0
253,0
