LR_TARGETL, LR_TARGETH, HR_TARGETL HR_TARGETH, L_EFFORT_PROB, L_EFFORT_MAG, H_EFFORT_PROB, H_EFFORT_MAG, TRIAL_TIME, HOVER_TIME 
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
.15, .46, .49, .83, .40, 30, .6, 80, 7.7, 3
.15, .47, .51, .83, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 30, .6, 80, 7.7, 3
.16, .50, .52, .85, .40, 20, .6, 70, 7.7, 3
.15, .47, .49, .83, .40, 25, .6, 60, 7.7, 3
.15, .46, .49, .83, .40, 33, .6, 76, 7.7, 3
